config,week,n,auc,rank_ic
A+B,2024-07-11/2024-07-17,168,0.6188896899783706,0.20428986878813937
A+B,2024-07-18/2024-07-24,168,0.5620836286321758,0.10752764452914065
A+B,2024-07-25/2024-07-31,168,0.556974599120193,0.09862169195240414
A+B,2024-08-01/2024-08-07,168,0.5101346562721474,0.017552962092416823
A+B,2024-08-08/2024-08-14,168,0.5139676687464549,0.02418640451461231
A+B,2024-08-15/2024-08-21,168,0.42215053763440863,-0.13406660314951438
A+B,2024-08-22/2024-08-28,168,0.5042613636363636,0.007390479130011408
A+B,2024-08-29/2024-09-04,168,0.5346562721474133,0.06019329619256357
A+B,2024-09-05/2024-09-11,168,0.5048028673835125,0.008275585504067633
A+B,2024-09-12/2024-09-18,168,0.5660524450744153,0.11440061687782359
A+B,2024-09-19/2024-09-25,168,0.591765873015873,0.1589470765396322
A+B,2024-09-26/2024-10-02,168,0.5196581196581196,0.033962493278857
A+B,2024-10-03/2024-10-09,168,0.5629261363636364,0.1088895327131749
A+B,2024-10-10/2024-10-16,168,0.5754744105807935,0.1315632517763376
A+B,2024-10-17/2024-10-23,168,0.5470170454545454,0.08142006236673914
A+B,2024-10-24/2024-10-30,168,0.5385724585436193,0.06623573145246654
A+B,2024-10-31/2024-11-06,168,0.5515669515669516,0.08912160184744357
A+B,2024-11-07/2024-11-13,168,0.5073195725369638,0.012486532597298438
A+B,2024-11-14/2024-11-20,168,0.5841911764705884,0.14736805793672536
A+B,2024-11-21/2024-11-27,168,0.5449438202247191,0.07770975463667736
A+B,2024-11-28/2024-12-04,168,0.5351301379604608,0.060740755204355006
A+B,2024-12-05/2024-12-11,168,0.5312908378103673,0.05354528915046517
A+B,2024-12-12/2024-12-18,168,0.5701717042713211,0.1214655707857132
A+B,2024-12-19/2024-12-25,168,0.5616574428834965,0.10672758444164283
A+B,2024-12-26/2025-01-01,168,0.5321732954545454,0.05566358668854443
A+B,2025-01-02/2025-01-08,168,0.49133522727272727,-0.014991218605322978
A+B,2025-01-09/2025-01-15,168,0.5869844441273012,0.15033769619357412
A+B,2025-01-16/2025-01-22,168,0.5226687643020596,0.03908636524509582
A+B,2025-01-23/2025-01-29,168,0.4984408221119773,-0.0027004557065256653
A+B,2025-01-30/2025-02-05,168,0.6148726851851851,0.1969344467538548
A+B,2025-02-06/2025-02-12,168,0.53242781965581,0.0560683539436239
A+B,2025-02-13/2025-02-19,168,0.5750850822461714,0.13002813128844531
A+B,2025-02-20/2025-02-26,168,0.4799433026222537,-0.03473737251629886
A+B,2025-02-27/2025-03-05,168,0.5567471590909091,0.09818013185938719
A+B,2025-03-06/2025-03-12,168,0.5106534090909091,0.018432281002451385
A+B,2025-03-13/2025-03-19,168,0.517229154849688,0.029910052049535254
A+B,2025-03-20/2025-03-26,168,0.5551130706869578,0.09529148973466002
A+B,2025-03-27/2025-04-02,168,0.48788752703677,-0.02079948145395389
A+B,2025-04-03/2025-04-09,168,0.549098774333093,0.0843131440220369
A+B,2025-04-10/2025-04-16,168,0.5602116704805492,0.10382258920999696
A+B,2025-04-17/2025-04-23,168,0.5509884795903854,0.08819476955735417
A+B,2025-04-24/2025-04-30,168,0.4731182795698925,-0.046321773810737064
A+B,2025-05-01/2025-05-07,168,0.5562012756909993,0.10385378505069118
A+B,2025-05-08/2025-05-14,168,0.5339860933730666,0.05882927771249693
A+B,2025-05-15/2025-05-21,168,0.46018267446838873,-0.0687326643956506
A+B,2025-05-22/2025-05-28,168,0.5421875,0.07334305833041996
